timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662922688362,117,user_info_3,200,OK,HW_1 1-1,text,true,,368,243,5,5,http://162.55.220.72:5005/user_info_3,117,0,57
1662922688375,136,object_info_3,200,OK,HW_1 1-4,text,true,,525,163,5,5,http://162.55.220.72:5005/object_info_3?name=Frank&age=27&salary=1200,136,0,66
1662922688439,110,user_info_2,200,OK,HW_1 1-5,text,true,,463,244,5,5,http://162.55.220.72:5005/user_info_2,110,0,53
1662922688250,326,object_info_2,200,OK,HW_1 1-2,text,true,,453,160,5,5,http://162.55.220.72:5005/object_info_2?name=Alex&age=30&salary=40,325,0,78
1662922688462,133,user_info_3,200,OK,HW_1 1-3,text,true,,368,243,5,5,http://162.55.220.72:5005/user_info_3,133,0,64
1662922688480,132,object_info_1,200,OK,HW_1 1-1,text,true,,231,163,5,5,http://162.55.220.72:5005/object_info_1?name=Kolya&age=31&weight=1300,132,0,64
1662922688512,132,object_info_4,200,OK,HW_1 1-4,text,true,,235,161,5,5,http://162.55.220.72:5005/object_info_4?name=Jon&age=30&salary=1500,132,0,64
1662922688549,131,user_info_3,200,OK,HW_1 1-5,text,true,,368,243,5,5,http://162.55.220.72:5005/user_info_3,131,0,64
1662922688576,146,object_info_3,200,OK,HW_1 1-2,text,true,,525,163,5,5,http://162.55.220.72:5005/object_info_3?name=Frank&age=27&salary=1200,146,0,72
1662922688596,129,object_info_1,200,OK,HW_1 1-3,text,true,,231,163,5,5,http://162.55.220.72:5005/object_info_1?name=Kolya&age=31&weight=1300,129,0,64
1662922688612,129,object_info_2,200,OK,HW_1 1-1,text,true,,453,160,5,5,http://162.55.220.72:5005/object_info_2?name=Alex&age=30&salary=40,129,0,64
1662922688645,110,get_method,200,OK,HW_1 1-4,text,true,,168,147,5,5,http://162.55.220.72:5005/get_method?name=Ivan&age=32,110,0,54
1662922688681,133,object_info_1,200,OK,HW_1 1-5,text,true,,231,163,5,5,http://162.55.220.72:5005/object_info_1?name=Kolya&age=31&weight=1300,133,0,65
